id,zh_name,zh_aliases,ancient_name,latin_name,pleiades_id,pleiades_title,wikidata_id,lon,lat,place_type,location_precision,source,note
stratos_acarnania,斯特拉托斯,,Στράτος,Stratos,531104,Stratos,,21.31948,38.67173,settlement,precise,Pleiades 531104 (CC BY 3.0),阿卡纳尼亚斯特拉托斯
akanthos,阿坎托斯,阿坎苏斯,Ἄκανθος,Acanthus,501339,Akanthos,,23.88668,40.39336,settlement,precise,Pleiades 501339 (CC BY 3.0),
stageira,斯塔吉拉,斯塔基拉,Στάγειρα,Stageira,501625,Stageira,,23.79533,40.59179,settlement,precise,Pleiades 501625 (CC BY 3.0),
mende,门德,,Μένδη,Mende,501515,Mende,,23.42228,39.96378,settlement,precise,Pleiades 501515 (CC BY 3.0),
skione,斯基奥涅,,Σκιώνη,Scione,501620,Skione,,23.57478,39.93906,settlement,precise,Pleiades 501620 (CC BY 3.0),
torone,托罗涅,,Τορώνη,Torone,501646,Torone,,23.90079,39.97708,settlement,precise,Pleiades 501646 (CC BY 3.0),
abdera,阿卜德拉,,Ἄβδηρα,Abdera,501323,Abdera,,24.97431,40.93283,settlement,precise,Pleiades 501323 (CC BY 3.0),
maroneia,马罗涅亚,,Μαρώνεια,Maroneia,501507,Maroneia,,25.51143,40.87375,settlement,precise,Pleiades 501507 (CC BY 3.0),
perinthus,佩林托斯,,Πέρινθος,Perinthus,511357,Perinthus/Heraclea,,27.95297,40.97101,settlement,precise,Pleiades 511357 (CC BY 3.0),
smyrna,士麦那,斯米尔纳,Σμύρνα,Smyrna,550771,Naulochon/Smyrna/Palaia Smyrna,,27.17044,38.46404,settlement,precise,Pleiades 550771 (CC BY 3.0),取古风至古典时期旧城址
cyme_aeolis,库迈,居迈,Κύμη,Cyme,550506,Cyme,,26.93832,38.76019,settlement,precise,Pleiades 550506 (CC BY 3.0),埃奥利斯库迈
colophon,科洛丰,,Κολοφών,Colophon,599577,Colophon,,27.14831,38.10825,settlement,precise,Pleiades 599577 (CC BY 3.0),
priene,普里埃涅,普里恩,Πριήνη,Priene,599905,Priene/‘Lince’?,,27.29658,37.66078,settlement,precise,Pleiades 599905 (CC BY 3.0),
iasos,伊阿索斯,,Ἰασός,Iasos,599664,Iasos,,27.58487,37.27920,settlement,precise,Pleiades 599664 (CC BY 3.0),
eryx,埃律克斯,厄律克斯,Ἔρυξ,Eryx,462201,Eryx,,12.58361,38.03652,settlement,precise,Pleiades 462201 (CC BY 3.0),
entella,恩特拉,,Ἔντελλα,Entella,462197,Entella,,13.12498,37.77398,settlement,precise,Pleiades 462197 (CC BY 3.0),
solus,索卢斯,索洛伊,Σολοῦς,Solus,462497,Solous,,13.52745,38.08250,settlement,precise,Pleiades 462497 (CC BY 3.0),
heraclea_minoa,米诺亚的赫拉克利亚,赫拉克利亚·米诺亚,Ἡράκλεια Μινῴα,Heraclea Minoa,462237,Heraclea Minoa,,13.28030,37.39476,settlement,precise,Pleiades 462237 (CC BY 3.0),
hipponion,希波尼翁,维博瓦伦蒂亚,Ἱππώνιον,Hipponion,452337,Hipponion/Vibo Valentia,,16.09765,38.67558,settlement,precise,Pleiades 452337 (CC BY 3.0),
medma,墨德玛,,Μέδμα,Medma,452375,Medma,,15.97637,38.48733,settlement,precise,Pleiades 452375 (CC BY 3.0),
caulonia,考洛尼亚,卡乌洛尼亚,Καυλωνία,Caulonia,452295,Caulonia,,16.40901,38.38138,settlement,precise,Pleiades 452295 (CC BY 3.0),
scylletium,斯库勒提翁,斯基拉提翁,Σκυλλήτιον,Scylletium,452439,Scylletium/Scolacium,,16.59444,38.80781,settlement,precise,Pleiades 452439 (CC BY 3.0),
